Concept,Evaluation_mean,Evaluation_std,Potency_mean,Potency_std,Activity_mean,Activity_std
API,0.7470588235294118,1.7388696961156132,0.9029411764705885,1.812129928811048,1.0294117647058825,1.6387817232115387
"Admission of failure, withdrawal of effort",-0.1317073170731707,2.0883461801136423,-0.25121951219512195,2.0883091481281837,-0.3487804878048781,2.2529245980496824
"Agrees (shows passive acceptance, understands, concurs, complies)",1.617142857142857,1.2447571683518297,0.6971428571428571,1.3857407950336196,0.5142857142857143,1.3790561694025907
Android,1.7093749999999996,1.977902831125685,1.7125000000000004,1.834180675397056,1.4593750000000003,1.838623699775188
"Asks for opinions (evaluation, analysis, expression of feeling)",2.167741935483871,1.5859030391331426,1.580645161290323,1.9413030799653717,1.5193548387096774,1.8152435817780113
"Asks for orientation (information, repetition, confirmation)",1.2914285714285718,1.1662813746682057,0.4885714285714285,1.2747596812332742,0.6314285714285715,1.4206178592573078
"Asks for suggestions (direction, possible ways of action)",1.9312500000000001,1.5369282473492378,1.203125,1.7561471277700509,1.2812500000000004,1.4105489844383285
Boolean,0.2571428571428571,1.6093096504465534,0.45714285714285735,1.5808290255948823,-0.0028571428571428636,1.6803886819569394
C,1.9,0.0,1.3,0.0,1.3,0.0
C#,1.1580246913580245,1.7815837175390365,1.1580246913580245,1.7008976713133643,0.774074074074074,1.7428356189018608
C++,0.9750000000000002,2.160037936909648,1.161111111111111,2.0423676045459507,1.0055555555555555,1.975115249020568
CSS,1.6343750000000001,1.4600105682408604,1.4718750000000003,1.6002410707062233,0.9750000000000003,1.530318594280289
"Change to new procedures and different values, creativity",1.8282051282051286,1.5408869769944638,1.5384615384615385,1.737462839981213,1.8564102564102563,1.466514247055883
Chrome,1.859375,1.7021786361527982,2.059375,1.6389515274635185,1.621875,1.815339908770531
"Conservative, established, “correct” ways of doing things",1.6522727272727273,1.4503116649947467,1.2340909090909093,1.5806993822957238,1.0674418604651161,1.7936218950586404
"Dedication, faithfulness, and loyalty to the organization",2.505555555555555,1.5834113041230604,1.7916666666666667,1.6989171387811839,1.961111111111111,1.3333912024478907
